kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
DP044,Pelecing kangkung,83.8,75,2.5,2.8,10,5.4,36,3,2.1,408,381,0.1,0.4,0,870,0,0.7,0,0.2,12
FP060,Pelolah manuk masakan,60,219,19.7,13.6,4.4,0,33,160,1.6,577,0,0,0,137,0,1.94,0.42,0,0,0
GP077,Pempek adaan,62.6,162,4.9,3,27.8,0,26,116,1,488,119,0.1,0.2,0,0,0,0.3,0.03,1,0
GP078,Pempek belida,61.4,156,4.2,1.4,31.6,0.2,100,55,3.3,0,0,0,0,0,0,0,0.03,0,0,0
GP079,Pempek kapal selam,63.4,152,4.5,2.3,28.2,0,19,115,1.6,628,91,0.1,0.2,0,0,0,0.2,0.03,1,0
GP080,Pempek kelesan,53,211,12.3,6.1,26.6,0.4,840,176,1.8,0,0,0,0,14,0,888,0.25,0,0,0
GP081,Pempek kulit,45.7,243,5.2,7.3,39.1,0,16,96,2,555,102,0.1,0.6,0,0,0,0.2,0.02,0.9,0
GP082,Pempek telur,62.4,156,4.7,2.7,28.3,0,13,83,1.3,448,48,0.1,0.6,0,0,0,0.2,0.05,1.1,0
GP083,Pempek tenggiri,56.3,173,7.2,1.2,33.4,0.2,164,80,3.1,0,0,0,0,0,0,0,0.02,0,0,0
GP084,Pencok lele masakan,47.5,372,7.8,36.3,3.5,0,289,295,5.3,0,0,0,0,64,0,12.07,0.12,0,0,0
FP066,Penyu serapah masakan,71.3,174,13.1,12.2,2.2,0,72,186,9.5,0,507,0.8,2.4,1.3,0,0,0,0,0,0
DR132,Pepare ular segar,95.1,19,0.6,0.1,3.9,1,20,10,0.4,130,30,0.1,0.1,0,69,0,0.1,0.1,0.1,9
DR133,Pepaya muda segar,92.3,29,2.1,0.1,4.9,2.1,50,16,0.4,22,211.2,0.01,0,0,0,50,0.02,0.03,0.3,19
ER073,Pepaya segar,86.7,46,0.5,12,12.2,1.6,23,12,1.7,4,221,0.02,0.3,0,1.04,365,0.04,0.06,0.4,78
CP019,Pepes oncom ampas tahu,80.9,76,5.2,1.8,10.6,2.2,215,66,12.5,0,0,0,0,0,0,268,0.11,0,0,0
DR134,Petai segar,77.2,92,5.4,1.1,15.2,2,14,170,1.6,55,221,0.2,0.8,0,114,0,0.8,0.1,6.1,34
DR135,Peterseli segar,83.9,53,3.7,1,9,0,193,84,4.3,18,1125.6,0.2,1.4,0,2.94,8.23,0.11,0.29,0.7,193
NP006,Petis ikan,56,165,20,0.2,20.8,0,37,36,2.8,0,0,0,0,0,0,0,0.01,0.2,0.8,0
NP007,Petis udang kering,8.3,345,23.8,1.4,59.3,0,221,397,3.8,12,462.8,0.75,1.9,0,0,232,1.02,0.4,2.2,0
NP008,Petis udang pasta,39,220,15,0.9,38,2.3,37,36,2.8,7.98,307.9,0.5,1.3,0,0,0,0.01,0.13,1.7,0
GP085,Pinda masakan,71,107,15.9,0.6,0.4,0,375,336,1.9,526,330,0.2,1,896,0,0,0.89,0.05,0.5,0
GP086,Pindang kenari masakan,80.1,124,9.5,9.6,0,0,120,220,1.3,370,270,0.3,1.2,18,381,0,0,0,0.1,0
ER074,Pisang ambon segar,72.9,108,1,0.8,24.3,1.9,20,30,0.2,10,0,0.2,0.2,0,37,0,0.05,0.11,0.1,9
ER075,Pisang angleng pisang ampyang segar,80.3,68,1.3,0.2,17.2,0.8,10,26,0.6,23,215.7,0.04,0,0,9,76,0.08,0.05,2.5,6
ER076,Pisang ayam segar,71.2,120,1.1,0.2,26.8,4.1,20,61,0.4,6,392,0.1,0.3,0,24,0,0.1,0.02,1,26
ER077,Pisang gapi segar,66.3,127,2.1,0.3,31.1,11.7,0,40,0.3,40,392,0,0.3,0,16,0,0.18,0.02,0.3,13
ER078,Pisang goroho segar,69.4,115,1.9,0.2,27.9,4.6,0,30,0.2,36,359,0,0.3,0,15,0,0.15,0.02,1.1,10
ER079,Pisang hijau segar,68.9,117,2,0.3,28.9,0.4,0,37,0.9,31,529.4,0.28,0.6,0,48,0,0.13,0.06,0,13
ER080,Pisang kayu segar,74.4,100,1.4,0.5,23.6,2.6,15,0,0.1,1,493,0.08,0.3,0,3,0,0.1,0,0.6,11
ER081,Pisang kepok segar,71.9,109,0.8,0.5,26.3,5.7,10,30,0.5,10,300,0.1,0.2,0,0,0,0.1,0,0.1,9
ER082,Pisang ketip segar,63.4,145,1.1,0.3,34.5,6.6,5,54,0.1,4,726,0.15,0.5,0,3,0,0.13,0.02,0.8,95
